方式, 事件等级, 事件内容, 地址类型, 触发条件, 恢复条件, 读取地址, 数据类型, 通知触发地址, 循环报警, 报警声, 确认时写入值, 字体, 颜色, 告警延迟时间, 监看地址数
0, 低, 人工下机位01阻挡下降超时，请确认后按“启动”按钮运行, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3026:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 自动下机位ID卡读取失败报警，请确认后按“启动”按钮运行, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3027:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低," 自动下机后缓冲阻挡下降超时，请确认后
按“启动”按钮运行", BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3028:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 自动下机工位读卡超时报警，请按“复位”消除报警！！！, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3029:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低," 自动下机位夹DC头气缸报警，请按下急停人工确定当前夹爪有无
夹到DC头
确认后按“启动”按钮运行", BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3030:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 自动下机位张开合拢头气缸报警，请确认后按“启动”按钮运行, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3031:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 人工下机位02轨道ID读取失败，请确认后按“启动”按钮运行, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3032:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 人工下机位02阻挡下降超时，请确认后按“启动”按钮运行, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3033:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, Event, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3034:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, Event, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3035:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 人工下机位阻挡下降超时，请确认后按“启动”按钮运行, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3036:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 人工下机Hipot测试段返板 阻挡下降超时，请确认后按“启动”按钮运行, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3037:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, Event, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3038:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, Event, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3039:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 机械手X轴伺服报警, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3040:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 机械手Y轴伺服报警, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3041:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 机械手Z轴伺服报警, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3042:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, DC脱PIN气缸Y轴伺服报警, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3043:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, DC脱PIN气缸Z轴伺服报警, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3044:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, Hipot1阻挡气缸下降超时, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3045:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, Hipot2阻挡气缸下降超时, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3046:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, ATE1阻挡气缸下降超时, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3047:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, ATE2阻挡气缸下降超时, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3048:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低," HIPOT-1保护光电异常，，请检查是否连扳或卡治具！！！！
按“复位”或“启动”消除报警", BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3049:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, Hipot测试位紧急停止按钮按下，请确认后“复位”按钮运行, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3050:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, Ate测试位紧急停止按钮按下，请确认后“复位”按钮运行, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3051:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 下机位紧急停止按钮按下，请确认后“复位”按钮运行, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3052:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 不良品处满料报警，请取出所有不良品并按“不良品处清零”按钮清除报警！, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3053:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, Event, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3054:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, Hipot测试位安全门打开报警，请确认后“复位”按钮运行, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3055:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, Ate测试位安全门打开报警，请确认后“复位”按钮运行, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3056:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 下机位安全门打开报警，请确认后“复位”按钮运行, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3057:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 下机升降机安全门打开报警，请确认后“复位”按钮运行, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3058:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 下机返板测试段有卡治具请人工确认!, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3059:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, Hipot-1-轨道记忆有治具实际检测无报警, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3060:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, Hipot-1-顶升测试记忆有治具实际检测无报警, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3061:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, Hipot-2-轨道记忆有治具实际检测无报警, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3062:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, Hipot-2-顶升测试记忆有治具实际检测无报警, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3063:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, ATE-1-轨道记忆有治具实际检测无报警, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3064:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低," 启动条件不满足，查看各个是否在原点，
脱DC_Y轴是否在原点;如Y轴已满足回原点条件，还不呢过启动回原点，请在手动运行状态下，
点触摸屏异常接触画面按清除状态按钮", BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(8026:0), BIT, 停用, 否, 停用, 0, 宋体, 0000FFFF, 0, 0
0, 低, 人工皮带马达运行超时，请确认后“复位”按钮运行, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(8043:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, Hipot段返板马达运行超时，请确认后“复位”按钮运行, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(8140:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, Ate段返板马达运行超时，请确认后“复位”按钮运行, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(8141:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 下机段返板马达运行超时，请确认后“复位”按钮运行, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3069:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, ATE-1-顶升测试记忆有治具实际检测无报警, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3065:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, ATE-2-轨道记忆有治具实际检测无报警, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3066:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, ATE-2-顶升测试记忆有治具实际检测无报警, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3067:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, X Y轴手动定位 Z轴没有在安全位置, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3075:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, Z轴手动定位 下机机械手没有张开, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3076:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 下机机械手X轴伺服自动感应到CW极限报警，请检查参数是否设置正确！！, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3080:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 下机机械手X轴伺服自动感应到CCW极限报警，请检查参数是否设置正确！！, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3081:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 下机机械手Y轴伺服自动感应到CW极限报警，请检查参数是否设置正确！！, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3082:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 下机机械手Y轴伺服自动感应到CCW极限报警，请检查参数是否设置正确！！, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3083:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 下机机械手Z轴伺服自动感应到CW极限报警，请检查参数是否设置正确！！, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3084:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 下机机械手Z轴伺服自动感应到CCW极限报警，请检查参数是否设置正确！！, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3085:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 脱DC机械手Y轴自动感应到CW极限报警，请检查参数是否设置正确！！, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3086:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 脱DC机械手Y轴自动感应到CCW极限报警，请检查参数是否设置正确！！, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3087:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 脱DC机械手Z轴自动感应到CW极限报警，请检查参数是否设置正确！！, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3088:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
0, 低, 脱DC机械手Z轴自动感应到CCW极限报警，请检查参数是否设置正确！！, BIT, ON, 默认, Hipot-Ate-自动下机.Q_8bit(3089:0), BIT, 停用, 否, 停用, 0, 宋体, 000000FF, 0, 0
